FID,Id,ORIG_FID,Id_1,typ,x,y
379,0,0,0,mark,146.9519958,-186.2720032
380,0,0,0,mark,147.3179932,-184.9309998
381,0,0,0,mark,147.6840057,-183.5899963
382,0,0,0,mark,148.1289978,-182.2839966
383,0,0,0,mark,148.8750000,-181.1109924
384,0,0,0,mark,149.6210022,-179.9380035
385,0,0,0,mark,150.3679962,-178.7649994
386,0,0,0,mark,151.1139984,-177.5930023
387,0,0,0,mark,151.8600006,-176.4199982
388,0,0,0,mark,152.6069946,-175.2469940
389,0,0,0,mark,153.3529968,-174.0740051
390,0,0,0,mark,154.0989990,-172.9019928
391,0,0,0,mark,155.0059967,-172.1809998
392,0,0,0,mark,156.3249969,-172.6210022
393,0,0,0,mark,157.6439972,-173.0599976
394,0,0,0,mark,158.9620056,-173.5000000
395,0,0,0,mark,160.2810059,-173.9389954
396,0,0,0,mark,161.4609985,-173.2519989
397,0,0,0,mark,162.6340027,-172.5059967
398,0,0,0,mark,163.8070068,-171.7599945
399,0,0,0,mark,164.9790039,-171.0130005
400,0,0,0,mark,166.1519928,-170.2669983
401,0,0,0,mark,167.3249969,-169.5209961
402,0,0,0,mark,168.4980011,-168.7740021
403,0,0,0,mark,169.6710052,-168.0279999
404,0,0,0,mark,170.8329926,-167.2720032
405,0,0,0,mark,171.5700073,-166.0930023
406,0,0,0,mark,172.3070068,-164.9140015
407,0,0,0,mark,173.0440063,-163.7359924
408,0,0,0,mark,173.7799988,-162.5570068
409,0,0,0,mark,174.5169983,-161.3780060
410,0,0,0,mark,175.2539978,-160.1990051
411,0,0,0,mark,175.9909973,-159.0200043
412,0,0,0,mark,176.7270050,-157.8419952
413,0,0,0,mark,177.4640045,-156.6629944
414,0,0,0,mark,178.2010040,-155.4839935
415,0,0,0,mark,178.9380035,-154.3049927
416,0,0,0,mark,179.6739960,-153.1260071
417,0,0,0,mark,180.4270020,-151.9589996
418,0,0,0,mark,181.3170013,-150.8910065
419,0,0,0,mark,182.2070007,-149.8229980
420,0,0,0,mark,183.0970001,-148.7550049
421,0,0,0,mark,183.9869995,-147.6880035
422,0,0,0,mark,184.8769989,-146.6199951
423,0,0,0,mark,185.4839935,-145.3829956
424,0,0,0,mark,186.0000000,-144.0930023
425,0,0,0,mark,186.5160065,-142.8020020
426,0,0,0,mark,187.0249939,-141.5079956
427,0,0,0,mark,187.4239960,-140.1770020
428,0,0,0,mark,187.8229980,-138.8450012
429,0,0,0,mark,188.2230072,-137.5140076
430,0,0,0,mark,188.6219940,-136.1829987
431,0,0,0,mark,189.0220032,-134.8509979
432,0,0,0,mark,189.4210052,-133.5200043
433,0,0,0,mark,189.8209991,-132.1880035
434,0,0,0,mark,190.2200012,-130.8569946
435,0,0,0,mark,190.6199951,-129.5249939
436,0,0,0,mark,191.0189972,-128.1940002
437,0,0,0,mark,191.4179993,-126.8619995
438,0,0,0,mark,191.8179932,-125.5309982
439,0,0,0,mark,192.2169952,-124.1989975
440,0,0,0,mark,192.6170044,-122.8679962
441,0,0,0,mark,193.6970062,-122.1480026
442,0,0,0,mark,194.9790039,-121.6090012
443,0,0,0,mark,196.2599945,-121.0690002
444,0,0,0,mark,197.5410004,-120.5299988
445,0,0,0,mark,198.8220062,-119.9899979
446,0,0,0,mark,200.1029968,-119.4509964
447,0,0,0,mark,201.3840027,-118.9120026
448,0,0,0,mark,202.6649933,-118.3720016
449,0,0,0,mark,203.9470062,-117.8330002
450,0,0,0,mark,205.2279968,-117.2929993
451,0,0,0,mark,206.5090027,-116.7539978
452,0,0,0,mark,207.7899933,-116.2139969
453,0,0,0,mark,209.0709991,-115.6750031
454,0,0,0,mark,210.3520050,-115.1360016
455,0,0,0,mark,211.6399994,-114.6110001
456,0,0,0,mark,212.9309998,-114.0950012
457,0,0,0,mark,214.2209930,-113.5790024
458,0,0,0,mark,215.5119934,-113.0630035
459,0,0,0,mark,216.8029938,-112.5459976
460,0,0,0,mark,218.0930023,-112.0299988
461,0,0,0,mark,219.3840027,-111.5139999
462,0,0,0,mark,220.5549927,-110.8359985
463,0,0,0,mark,221.4230042,-109.7509995
464,0,0,0,mark,222.2920074,-108.6650009
465,0,0,0,mark,223.1600037,-107.5800018
466,0,0,0,mark,224.0290070,-106.4940033
467,0,0,0,mark,224.8970032,-105.4089966
468,0,0,0,mark,225.7649994,-104.3239975
469,0,0,0,mark,226.6340027,-103.2379990
470,0,0,0,mark,227.5019989,-102.1529999
471,0,0,0,mark,228.3710022,-101.0670013
472,0,0,0,mark,229.2389984,-99.9815979
473,0,0,0,mark,230.1069946,-98.8961029
474,0,0,0,mark,230.9759979,-97.8106003
475,0,0,0,mark,231.8820038,-96.7661972
476,0,0,0,mark,233.0379944,-95.9951019
477,0,0,0,mark,234.1950073,-95.2239990
478,0,0,0,mark,235.3520050,-94.4529037
479,0,0,0,mark,236.5079956,-93.6818008
480,0,0,0,mark,237.6649933,-92.9107971
481,0,0,0,mark,238.8209991,-92.1397018
482,0,0,0,mark,239.9779968,-91.3685989
483,0,0,0,mark,241.1349945,-90.5975037
484,0,0,0,mark,242.2910004,-89.8264008
485,0,0,0,mark,243.4479980,-89.0552979
486,0,0,0,mark,244.6049957,-88.2842026
487,0,0,0,mark,245.7610016,-87.5131989
488,0,0,0,mark,246.9179993,-86.7421036
489,0,0,0,mark,248.0740051,-85.9710007
490,0,0,0,mark,249.1959991,-85.1539993
491,0,0,0,mark,250.2420044,-84.2386017
492,0,0,0,mark,251.2879944,-83.3231964
493,0,0,0,mark,252.3339996,-82.4077988
494,0,0,0,mark,253.3809967,-81.4924011
495,0,0,0,mark,254.4270020,-80.5770035
496,0,0,0,mark,255.4730072,-79.6616974
497,0,0,0,mark,256.5190125,-78.7462997
498,0,0,0,mark,257.5650024,-77.8309021
499,0,0,0,mark,258.6109924,-76.9154968
500,0,0,0,mark,259.6570129,-76.0000992
501,0,0,0,mark,260.7040100,-75.0847015
502,0,0,0,mark,261.7500000,-74.1694031
503,0,0,0,mark,262.7959900,-73.2539978
504,0,0,0,mark,263.8420105,-72.3386002
505,0,0,0,mark,264.8399963,-71.3718033
506,0,0,0,mark,265.8229980,-70.3888016
507,0,0,0,mark,266.8059998,-69.4058990
508,0,0,0,mark,267.7890015,-68.4228973
509,0,0,0,mark,268.7720032,-67.4400024
510,0,0,0,mark,269.7550049,-66.4570007
511,0,0,0,mark,270.7380066,-65.4740982
512,0,0,0,mark,271.7210083,-64.4910965
513,0,0,0,mark,272.7040100,-63.5082016
514,0,0,0,mark,273.6870117,-62.5251999
515,0,0,0,mark,274.6700134,-61.5423012
516,0,0,0,mark,275.6520081,-60.5593987
517,0,0,0,mark,276.6350098,-59.5764008
518,0,0,0,mark,277.6180115,-58.5934982
519,0,0,0,mark,278.6010132,-57.6105003
520,0,0,0,mark,279.5840149,-56.6276016
521,0,0,0,mark,280.5669861,-55.6445999
522,0,0,0,mark,281.5499878,-54.6617012
523,0,0,0,mark,282.5329895,-53.6786995
524,0,0,0,mark,283.5159912,-52.6958008
525,0,0,0,mark,284.4989929,-51.7128983
526,0,0,0,mark,285.4819946,-50.7299004
527,0,0,0,mark,286.4649963,-49.7470016
528,0,0,0,mark,287.4479980,-48.7639999
529,0,0,0,mark,288.4309998,-47.7811012
530,0,0,0,mark,289.4140015,-46.7980995
531,0,0,0,mark,290.3970032,-45.8152008
532,0,0,0,mark,291.3800049,-44.8321991
533,0,0,0,mark,292.3630066,-43.8493004
534,0,0,0,mark,293.3190002,-42.8409004
535,0,0,0,mark,294.2650146,-41.8222008
536,0,0,0,mark,295.2109985,-40.8036003
537,0,0,0,mark,296.1570129,-39.7849007
538,0,0,0,mark,297.1029968,-38.7663002
539,0,0,0,mark,298.0490112,-37.7476006
540,0,0,0,mark,298.9939880,-36.7290001
541,0,0,0,mark,299.9400024,-35.7103004
542,0,0,0,mark,300.8859863,-34.6917000
543,0,0,0,mark,301.8320007,-33.6730003
544,0,0,0,mark,302.7780151,-32.6543999
545,0,0,0,mark,303.7239990,-31.6357002
546,0,0,0,mark,304.6700134,-30.6170998
547,0,0,0,mark,305.7489929,-29.7548008
548,0,0,0,mark,306.9049988,-28.9836998
549,0,0,0,mark,308.0620117,-28.2126007
550,0,0,0,mark,309.2189941,-27.4414997
551,0,0,0,mark,310.3750000,-26.6704998
552,0,0,0,mark,311.5320129,-25.8994007
553,0,0,0,mark,312.6889954,-25.1282997
554,0,0,0,mark,313.8940125,-24.5827007
555,0,0,0,mark,315.2650146,-24.8113003
556,0,0,0,mark,316.6359863,-25.0398006
557,0,0,0,mark,318.0069885,-25.2682991
558,0,0,0,mark,319.3779907,-25.4967995
559,0,0,0,mark,320.7489929,-25.7254009
560,0,0,0,mark,322.1210022,-25.9538994
561,0,0,0,mark,323.4920044,-26.1823997
562,0,0,0,mark,324.8630066,-26.4109993
563,0,0,0,mark,326.0989990,-25.8383007
564,0,0,0,mark,327.3190002,-25.1727009
565,0,0,0,mark,328.5400085,-24.5070000
566,0,0,0,mark,329.7600098,-23.8414001
567,0,0,0,mark,330.9800110,-23.1756992
568,0,0,0,mark,332.2009888,-22.5100994
569,0,0,0,mark,333.4209900,-21.8444004
570,0,0,0,mark,334.6419983,-21.1788006
571,0,0,0,mark,335.8469849,-20.9605007
572,0,0,0,mark,337.0199890,-21.7068005
573,0,0,0,mark,338.1919861,-22.4531002
574,0,0,0,mark,339.3649902,-23.1993999
575,0,0,0,mark,340.5379944,-23.9456997
576,0,0,0,mark,341.7109985,-24.6919994
577,0,0,0,mark,342.8829956,-25.4382992
578,0,0,0,mark,344.0559998,-26.1846008
579,0,0,0,mark,345.2290039,-26.9309998
