FID,Id,ORIG_FID,Id_1,typ,x,y
180,0,2,0,glacier,54.3005981,-94.3443985
181,0,2,0,glacier,54.6617012,-93.2738037
182,0,2,0,glacier,55.1880989,-92.2735977
183,0,2,0,glacier,55.7145004,-91.2733994
184,0,2,0,glacier,56.2408981,-90.2733002
185,0,2,0,glacier,56.7672997,-89.2731018
186,0,2,0,glacier,57.2937012,-88.2730026
187,0,2,0,glacier,57.8200989,-87.2727966
188,0,2,0,glacier,58.3465004,-86.2726974
189,0,2,0,glacier,58.8728981,-85.2724991
190,0,2,0,glacier,59.3992996,-84.2723999
191,0,2,0,glacier,59.9257011,-83.2722015
192,0,2,0,glacier,60.4520988,-82.2721024
193,0,2,0,glacier,60.9785004,-81.2718964
194,0,2,0,glacier,61.5049019,-80.2717972
195,0,2,0,glacier,62.1889000,-79.3991013
196,0,2,0,glacier,63.0570984,-78.6755981
197,0,2,0,glacier,63.9253998,-77.9520035
198,0,2,0,glacier,64.7937012,-77.2285004
199,0,2,0,glacier,65.6619034,-76.5048981
200,0,2,0,glacier,66.5814972,-75.8531036
201,0,2,0,glacier,67.5468979,-75.2655029
202,0,2,0,glacier,68.5123978,-74.6778030
203,0,2,0,glacier,69.4777985,-74.0902023
204,0,2,0,glacier,70.4431992,-73.5025024
205,0,2,0,glacier,71.4086990,-72.9149017
206,0,2,0,glacier,72.3740997,-72.3272018
207,0,2,0,glacier,73.3395004,-71.7396011
208,0,2,0,glacier,74.3069992,-71.1557999
209,0,2,0,glacier,75.3520966,-70.7255020
210,0,2,0,glacier,76.3971024,-70.2951965
211,0,2,0,glacier,77.4421997,-69.8647995
212,0,2,0,glacier,78.4872971,-69.4345016
213,0,2,0,glacier,79.5324020,-69.0042038
214,0,2,0,glacier,80.5774994,-68.5738983
215,0,2,0,glacier,81.6225967,-68.1435013
216,0,2,0,glacier,82.6677017,-67.7132034
217,0,2,0,glacier,83.7127991,-67.2828979
218,0,2,0,glacier,84.7578964,-66.8525009
219,0,2,0,glacier,85.8030014,-66.4222031
220,0,2,0,glacier,86.8267975,-65.9471970
221,0,2,0,glacier,87.8206024,-65.4088974
222,0,2,0,glacier,88.8143997,-64.8705978
223,0,2,0,glacier,89.8081970,-64.3322983
224,0,2,0,glacier,90.8020020,-63.7939987
225,0,2,0,glacier,91.7957993,-63.2556992
226,0,2,0,glacier,92.7895966,-62.7173996
227,0,2,0,glacier,93.7834015,-62.1791000
228,0,2,0,glacier,94.7771988,-61.6408005
229,0,2,0,glacier,95.8573990,-61.7266998
230,0,2,0,glacier,96.9600983,-61.9748001
231,0,2,0,glacier,98.0626984,-62.2229004
232,0,2,0,glacier,99.1653976,-62.4710007
233,0,2,0,glacier,100.2679977,-62.7191010
234,0,2,0,glacier,101.3710022,-62.9672012
235,0,2,0,glacier,102.4729996,-63.2153015
236,0,2,0,glacier,103.5759964,-63.4634018
237,0,2,0,glacier,104.6790009,-63.7114983
238,0,2,0,glacier,105.7809982,-63.9595985
239,0,2,0,glacier,106.8840027,-64.2077026
240,0,2,0,glacier,107.9869995,-64.4558029
241,0,2,0,glacier,109.0889969,-64.7039032
242,0,2,0,glacier,110.2129974,-64.8078995
243,0,2,0,glacier,111.3410034,-64.8855972
244,0,2,0,glacier,112.4680023,-64.9634018
245,0,2,0,glacier,113.5960007,-65.0411987
246,0,2,0,glacier,114.7229996,-65.1188965
247,0,2,0,glacier,115.8509979,-65.1967010
248,0,2,0,glacier,116.9779968,-65.2743988
249,0,2,0,glacier,118.1060028,-65.3522034
250,0,2,0,glacier,119.2330017,-65.4300003
251,0,2,0,glacier,120.2929993,-65.1388016
252,0,2,0,glacier,121.3180008,-64.6628036
253,0,2,0,glacier,122.3430023,-64.1868973
254,0,2,0,glacier,123.3679962,-63.7108994
255,0,2,0,glacier,124.3929977,-63.2350006
256,0,2,0,glacier,125.4179993,-62.7589989
257,0,2,0,glacier,126.4430008,-62.2831001
258,0,2,0,glacier,127.4680023,-61.8070984
259,0,2,0,glacier,128.4940033,-61.3311996
260,0,2,0,glacier,129.5189972,-60.8552017
261,0,2,0,glacier,130.6069946,-60.5556984
262,0,2,0,glacier,131.7010040,-60.2720985
263,0,2,0,glacier,132.7949982,-59.9883995
264,0,2,0,glacier,133.8890076,-59.7047997
265,0,2,0,glacier,134.9830017,-59.4211006
266,0,2,0,glacier,136.0769958,-59.1375008
267,0,2,0,glacier,137.1710052,-58.8539009
268,0,2,0,glacier,138.2649994,-58.5702019
269,0,2,0,glacier,139.3269958,-58.4047012
270,0,2,0,glacier,140.1260071,-59.2038994
271,0,2,0,glacier,140.9259949,-60.0031013
272,0,2,0,glacier,141.7250061,-60.8022995
273,0,2,0,glacier,142.5240021,-61.6015015
274,0,2,0,glacier,143.3229980,-62.4006004
275,0,2,0,glacier,144.1219940,-63.1997986
276,0,2,0,glacier,144.9219971,-63.9990005
277,0,2,0,glacier,145.7209930,-64.7982025
278,0,2,0,glacier,146.5200043,-65.5973969
279,0,2,0,glacier,147.4320068,-66.2559967
280,0,2,0,glacier,148.3849945,-66.8628006
281,0,2,0,glacier,149.3390045,-67.4695969
282,0,2,0,glacier,150.2920074,-68.0764008
283,0,2,0,glacier,151.2460022,-68.6831970
284,0,2,0,glacier,152.1990051,-69.2900009
285,0,2,0,glacier,153.1529999,-69.8967972
286,0,2,0,glacier,154.1069946,-70.5036011
287,0,2,0,glacier,155.0460052,-70.4885025
288,0,2,0,glacier,155.9720001,-69.8404007
289,0,2,0,glacier,156.8979950,-69.1922989
290,0,2,0,glacier,157.8240051,-68.5440979
291,0,2,0,glacier,158.7500000,-67.8960037
292,0,2,0,glacier,159.6759949,-67.2479019
293,0,2,0,glacier,160.6020050,-66.5997009
294,0,2,0,glacier,161.5279999,-65.9515991
295,0,2,0,glacier,162.4850006,-66.2738037
296,0,2,0,glacier,163.4510040,-66.8603973
297,0,2,0,glacier,164.4170074,-67.4468994
298,0,2,0,glacier,165.3840027,-68.0335007
299,0,2,0,glacier,166.3500061,-68.6201019
300,0,2,0,glacier,167.3159943,-69.2065964
301,0,2,0,glacier,168.2819977,-69.7931976
302,0,2,0,glacier,169.2480011,-70.3796997
303,0,2,0,glacier,170.2140045,-70.9663010
304,0,2,0,glacier,171.1799927,-71.5529022
305,0,2,0,glacier,171.9759979,-72.3082962
306,0,2,0,glacier,172.5579987,-73.2774963
307,0,2,0,glacier,173.1390076,-74.2465973
308,0,2,0,glacier,173.7209930,-75.2157974
309,0,2,0,glacier,174.3020020,-76.1849976
310,0,2,0,glacier,174.8840027,-77.1540985
311,0,2,0,glacier,175.4649963,-78.1232986
312,0,2,0,glacier,176.0469971,-79.0923996
313,0,2,0,glacier,176.6280060,-80.0615997
314,0,2,0,glacier,177.2100067,-81.0307007
315,0,2,0,glacier,177.7910004,-81.9999008
316,0,2,0,glacier,178.3730011,-82.9690018
317,0,2,0,glacier,178.9539948,-83.9382019
318,0,2,0,glacier,179.5359955,-84.9074020
319,0,2,0,glacier,180.1170044,-85.8765030
320,0,2,0,glacier,180.6990051,-86.8457031
321,0,2,0,glacier,181.2799988,-87.8147964
322,0,2,0,glacier,181.8619995,-88.7839966
323,0,2,0,glacier,182.4409943,-89.7543030
324,0,2,0,glacier,182.9470062,-90.7651978
325,0,2,0,glacier,183.4519958,-91.7761002
326,0,2,0,glacier,183.9579926,-92.7870026
327,0,2,0,glacier,184.4629974,-93.7978973
328,0,2,0,glacier,184.9680023,-94.8087997
329,0,2,0,glacier,185.4739990,-95.8197021
330,0,2,0,glacier,185.9790039,-96.8305969
331,0,2,0,glacier,186.4850006,-97.8414993
332,0,2,0,glacier,186.9900055,-98.8524017
333,0,2,0,glacier,187.4960022,-99.8632965
334,0,2,0,glacier,188.0010071,-100.8740005
335,0,2,0,glacier,188.5070038,-101.8850021
336,0,2,0,glacier,189.0119934,-102.8960037
337,0,2,0,glacier,189.5180054,-103.9069977
338,0,2,0,glacier,190.0229950,-104.9179993
339,0,2,0,glacier,190.5279999,-105.9290009
340,0,2,0,glacier,191.0339966,-106.9400024
341,0,2,0,glacier,191.5390015,-107.9499969
342,0,2,0,glacier,192.0449982,-108.9609985
343,0,2,0,glacier,192.5500031,-109.9720001
344,0,2,0,glacier,193.0559998,-110.9830017
345,0,2,0,glacier,193.5610046,-111.9940033
346,0,2,0,glacier,194.0670013,-113.0049973
347,0,2,0,glacier,194.5720062,-114.0159988
348,0,2,0,glacier,195.0769958,-115.0270004
349,0,2,0,glacier,195.5829926,-116.0380020
350,0,2,0,glacier,196.0879974,-117.0490036
351,0,2,0,glacier,196.5939941,-118.0589981
352,0,3,0,mark,201.9700012,-127.2819977
353,0,3,0,mark,202.1799927,-126.1709976
354,0,3,0,mark,202.3890076,-125.0609970
355,0,3,0,mark,202.5989990,-123.9499969
356,0,3,0,mark,202.8079987,-122.8399963
357,0,3,0,mark,203.0180054,-121.7289963
358,0,3,0,mark,203.2270050,-120.6179962
359,0,3,0,mark,203.4369965,-119.5080032
360,0,3,0,mark,203.6459961,-118.3970032
361,0,3,0,mark,203.8560028,-117.2860031
362,0,3,0,mark,204.0650024,-116.1760025
363,0,3,0,mark,204.2749939,-115.0650024
364,0,3,0,mark,204.4850006,-113.9550018
365,0,3,0,mark,204.6940002,-112.8440018
366,0,3,0,mark,204.9040070,-111.7330017
367,0,3,0,mark,205.1130066,-110.6230011
368,0,3,0,mark,205.3229980,-109.5120010
369,0,3,0,mark,205.5319977,-108.4010010
370,0,3,0,mark,205.7420044,-107.2910004
371,0,3,0,mark,205.9510040,-106.1800003
372,0,3,0,mark,206.1609955,-105.0699997
373,0,3,0,mark,206.3710022,-103.9589996
374,0,3,0,mark,206.6360016,-102.8639984
375,0,3,0,mark,207.0379944,-101.8079987
376,0,3,0,mark,207.4409943,-100.7519989
377,0,3,0,mark,207.8430023,-99.6955032
378,0,3,0,mark,208.2449951,-98.6393967
379,0,3,0,mark,208.6479950,-97.5831985
380,0,3,0,mark,209.0500031,-96.5270004
381,0,3,0,mark,209.4519958,-95.4708023
382,0,3,0,mark,209.8549957,-94.4147034
383,0,3,0,mark,210.2570038,-93.3584976
384,0,3,0,mark,210.7910004,-92.3643036
385,0,3,0,mark,211.3509979,-91.3830032
386,0,3,0,mark,211.9120026,-90.4017029
387,0,3,0,mark,212.4730072,-89.4204025
388,0,3,0,mark,213.0339966,-88.4391022
389,0,3,0,mark,213.5939941,-87.4577026
390,0,3,0,mark,214.1549988,-86.4764023
391,0,3,0,mark,214.7160034,-85.4951019
392,0,3,0,mark,215.2769928,-84.5138016
393,0,3,0,mark,215.8370056,-83.5325012
394,0,3,0,mark,216.4689941,-82.5971985
