Easting,Northing,mark,r,g,b,Name
654502.4771571788,7556550.204906577,1327.028166011068,190,121,74,1
654478.1600921571,7556542.963887673,1329.16576941862,190,121,74,1
654454.0262422636,7556535.874589742,1330.5951831953125,190,121,74,1
654429.9529881955,7556528.6487088185,1332.9202746289066,190,121,74,1
654406.1586579217,7556521.496009027,1335.312690194336,190,121,74,1
654382.5876627336,7556514.235227807,1337.7474812470705,190,121,74,1
654359.1647396608,7556506.721362034,1339.7025183857422,190,121,74,1
654336.0803781612,7556499.452825123,1341.5680616341147,190,121,74,1
654313.16898185,7556492.157435902,1342.953066778125,190,121,74,1
654290.4572561524,7556485.089640862,1343.2785423785808,190,121,74,1
654267.8879264456,7556478.096158171,1344.3001983779295,190,121,74,1
654245.4471147875,7556471.466469431,1343.977615538737,190,121,74,1
654223.2452170631,7556464.935606615,1343.5567466940918,190,121,74,1
654201.3558312337,7556458.6765651675,1342.8978654846194,190,121,74,1
654179.8422890173,7556452.683753828,1342.24764505249,190,121,74,1
654158.617914808,7556446.652300786,1341.8170193763021,190,121,74,1
654137.6192737428,7556440.531578498,1342.2223494466145,190,121,74,1
654116.7241506595,7556434.492147171,1342.2121260023434,190,121,74,1
654096.0893163125,7556428.487257951,1342.283457719336,190,121,74,1
654075.6464185747,7556422.606418015,1342.4512217087893,190,121,74,1
654055.4184448279,7556416.991495747,1342.5827324919926,190,121,74,1
654035.2741543576,7556411.672052736,1342.9359183742188,190,121,74,1
654015.1629317512,7556406.616974482,1343.3878050947267,190,121,74,1
654013.6461289523,7556158.699289815,1395.3624719427085,190,121,74,1
654055.6392686217,7556169.692788278,1406.8557609106965,190,121,74,1
654098.0795706064,7556183.261023317,1444.0026139795534,190,121,74,1
654140.8192544454,7556199.123586895,1469.0893366945224,190,121,74,1
654184.7086090953,7556216.11410978,1474.1319593620403,190,121,74,1
654228.607515035,7556234.51071905,1476.1725850944622,190,121,74,1
654272.6807935606,7556253.723946247,1476.6971938835247,190,121,74,1
