Easting,Northing,fuffens,r,g,b,Name
654406.9295740161,7556434.880711886,1360.5030340761716,248,57,4,1
654387.8642750175,7556427.628639938,1364.2929129033205,248,57,4,1
654369.0127279449,7556420.661137653,1365.5574729355471,248,57,4,1
654350.349195832,7556413.358596068,1365.035478053711,248,57,4,1
654331.7925312954,7556406.081344537,1368.8796146134766,248,57,4,1
654313.4218067812,7556398.852857235,1369.273429000586,248,57,4,1
654294.9972516437,7556391.7617466925,1369.3297860553384,248,57,4,1
654276.6077709907,7556385.075575024,1369.3108024908854,248,57,4,1
654258.1867568681,7556378.621757072,1369.9090417792968,248,57,4,1
654491.6479828446,7556633.771040954,1321.2767825947265,248,57,4,2
654486.8592416844,7556654.394539072,1320.4385880595705,248,57,4,2
654482.2434242265,7556675.168918887,1319.609473414063,248,57,4,2
654477.5569274796,7556696.013974609,1318.5308355052084,248,57,4,2
654472.8357442594,7556716.913124087,1317.6170087252606,248,57,4,2
654467.9378176557,7556737.726733029,1316.7300923779296,248,57,4,2
654462.9734782134,7556758.423977372,1316.2565756542967,248,57,4,2
654457.7336685647,7556779.048457645,1317.1396456269529,248,57,4,2
654452.1565367593,7556799.465365928,1320.0760913942522,248,57,4,2
654446.2634420817,7556819.610427655,1323.8691410924478,248,57,4,2
654439.9842341148,7556839.544963744,1325.8094102713542,248,57,4,2
654433.7290284492,7556859.256215562,1325.1115371178385,248,57,4,2
654427.48187973,7556878.893026675,1324.656585909668,248,57,4,2
654421.2664657942,7556898.119720486,1324.5205271852215,248,57,4,2
654414.4716588022,7556917.208555252,1324.116513393229,248,57,4,2
654329.2254183795,7556838.391759449,1334.3326932792968,248,57,4,2
654333.1663438794,7556818.868983055,1338.132904924504,248,57,4,2
654335.5796958007,7556799.207554543,1342.2583605249024,248,57,4,2
654336.7099087934,7556779.356637122,1344.6325387721354,248,57,4,2
654336.5181743393,7556759.379425827,1344.6625721162109,248,57,4,2
654335.6237551591,7556739.2756939735,1344.2814029878905,248,57,4,2
654334.6166240601,7556719.1839263765,1342.8993577301894,248,57,4,2
654333.4159522997,7556699.3427384915,1342.0628259469404,248,57,4,2
654332.1560173188,7556679.78831159,1341.3575585561198,248,57,4,2
654331.0828684705,7556660.385575827,1340.2657142529295,248,57,4,2
654330.1899324636,7556640.778277194,1338.440827009006,248,57,4,2
