Easting,Northing,glacier,r,g,b,Name
654544.37514646,7556488.81122806,1373.3701171875,56,57,255,1
654524.6782388097,7556481.192306803,1376.9903564453125,56,57,255,1
654504.6797207596,7556472.7687655175,1380.0845947265625,56,57,255,1
654484.7090031486,7556464.637359598,1383.091064453125,56,57,255,1
654464.8473262341,7556457.018371562,1386.117919921875,56,57,255,1
654445.2357297476,7556449.836005107,1388.7828369140625,56,57,255,1
654425.9719716064,7556442.3375783125,1391.9951171875,56,57,255,1
654406.9295740161,7556434.880711886,1392.9488525390625,56,57,255,1
654387.8642750175,7556427.628639938,1397.6038818359375,56,57,255,1
654369.0127279449,7556420.661137653,1399.717529296875,56,57,255,1
654350.349195832,7556413.358596068,1400.0396728515625,56,57,255,1
654331.7925312954,7556406.081344537,1405.186767578125,56,57,255,1
654313.4218067812,7556398.852857235,1407.5042724609375,56,57,255,1
654294.9972516437,7556391.7617466925,1409.6744384765625,56,57,255,1
654276.6077709907,7556385.075575024,1411.9915771484375,56,57,255,1
654258.1867568681,7556378.621757072,1414.57763671875,56,57,255,1
654239.8236238324,7556372.368224053,1416.2666015625,56,57,255,1
654221.6788253994,7556366.09046664,1418.5694580078125,56,57,255,1
654203.5767856211,7556359.74049857,1420.0035400390625,56,57,255,1
654185.6483710387,7556353.120154175,1422.4632568359375,56,57,255,1
654167.9585864415,7556346.195859705,1424.4490966796875,56,57,255,1
654150.2529555386,7556339.242643206,1426.10693359375,56,57,255,1
654132.4980937197,7556331.883920109,1428.1995849609375,56,57,255,1
654114.8840371107,7556324.393303842,1429.681640625,56,57,255,1
654097.3734916273,7556316.983948865,1431.5130615234375,56,57,255,1
654079.5069775617,7556309.96540582,1432.8792724609375,56,57,255,1
654061.4178547168,7556303.214583457,1435.1265869140625,56,57,255,1
654043.0857715947,7556296.7208917625,1436.935302734375,56,57,255,1
654024.3421128433,7556290.436773107,1438.45556640625,56,57,255,1
654005.0799517373,7556284.102979895,1440.1812744140625,56,57,255,1
653985.8311697522,7556277.311274359,1442.143798828125,56,57,255,1
653966.5332139569,7556270.404387716,1443.9013671875,56,57,255,1
653947.0715485492,7556263.600212351,1445.7681884765625,56,57,255,1
653927.3373825799,7556256.845418982,1447.560791015625,56,57,255,1
653907.4868023804,7556250.046346355,1449.258544921875,56,57,255,1
653887.4928710082,7556243.360579528,1451.0535888671875,56,57,255,1
653867.0328470197,7556236.684523663,1452.7451171875,56,57,255,1
653846.2932163827,7556230.001239888,1454.467041015625,56,57,255,1
653825.655145982,7556223.548969047,1456.3431396484375,56,57,255,1
653805.1298141382,7556217.1410831185,1458.0084228515625,56,57,255,1
653784.9589580981,7556210.539199685,1459.822265625,56,57,255,1
653765.3122252728,7556203.247792684,1461.7337646484375,56,57,255,1
653746.3492193639,7556194.471042178,1463.4447021484375,56,57,255,1
653728.8259080625,7556183.9732420165,1464.9071044921875,56,57,255,1
653713.3463479197,7556171.893525539,1467.0762939453125,56,57,255,1
653700.4164450692,7556157.9062791765,1468.494873046875,56,57,255,1
653690.719539531,7556141.76206197,1470.0751953125,56,57,255,1
653685.0576742414,7556123.742932494,1471.95947265625,56,57,255,1
653683.5935060434,7556104.757589216,1473.225830078125,56,57,255,1
653686.5813457912,7556086.347662936,1475.2811279296875,56,57,255,1
653695.9064782467,7556070.461442294,1476.23046875,56,57,255,1
653711.7882322513,7556058.114111179,1477.119873046875,56,57,255,1
654639.0199719036,7556904.773134011,1344.3270263671875,56,57,255,2
654634.274020982,7556884.877302992,1346.1422119140625,56,57,255,2
654631.1982174694,7556864.145597452,1348.1573486328125,56,57,255,2
654629.616852254,7556843.288501607,1349.928466796875,56,57,255,2
654629.0414665759,7556822.34215526,1350.9600830078125,56,57,255,2
654628.8098078574,7556801.03255005,1352.063232421875,56,57,255,2
654629.0987913718,7556779.5014509875,1353.018310546875,56,57,255,2
654629.7779745854,7556757.591165007,1354.0416259765625,56,57,255,2
654630.5592380486,7556735.32179182,1354.8682861328125,56,57,255,2
654631.6172599513,7556713.162746499,1355.8951416015625,56,57,255,2
654632.353170661,7556690.60033219,1356.551025390625,56,57,255,2
654632.995259269,7556667.6202198425,1357.408203125,56,57,255,2
654633.4404091246,7556644.656348049,1357.766845703125,56,57,255,2
654633.5113703801,7556621.688669385,1357.7452392578125,56,57,255,2
654632.9315765683,7556598.428955712,1358.986572265625,56,57,255,2
654632.1520934114,7556574.70770898,1359.475830078125,56,57,255,2
654631.3539963961,7556550.713769712,1360.318603515625,56,57,255,2
654630.6316490965,7556526.565183828,1360.949462890625,56,57,255,2
654629.9496329321,7556502.269192336,1362.04833984375,56,57,255,2
654629.1228349679,7556478.226697418,1363.6158447265625,56,57,255,2
654628.3152419194,7556454.5037720315,1365.7186279296875,56,57,255,2
654627.1655198752,7556431.696732315,1367.7855224609375,56,57,255,2
654625.0696399026,7556411.061554303,1370.1727294921875,56,57,255,2
654621.2296258768,7556393.0652681785,1373.376953125,56,57,255,2
654615.7914672468,7556378.072533276,1376.3736572265625,56,57,255,2
654607.9004321165,7556367.20250884,1379.319580078125,56,57,255,2
654598.3954341934,7556361.226801491,1381.0946044921875,56,57,255,2
654587.6878128734,7556359.823699231,1381.9837646484375,56,57,255,2
654576.0054133873,7556363.278489747,1383.0159912109375,56,57,255,2
654564.8579627618,7556371.91617882,1382.2130126953125,56,57,255,2
654556.4417127004,7556384.829437638,1381.143798828125,56,57,255,2
654549.9372777683,7556400.573564625,1379.7196044921875,56,57,255,2
654544.2222682354,7556417.854211528,1378.894775390625,56,57,255,2
654539.2708812838,7556436.285872728,1377.716064453125,56,57,255,2
654534.8195438958,7556455.421888747,1376.345458984375,56,57,255,2
654530.4445176303,7556474.628061966,1376.3720703125,56,57,255,2
654526.2190152344,7556493.908786397,1376.424072265625,56,57,255,2
654522.0638775897,7556513.474695861,1376.7193603515625,56,57,255,2
654517.618752575,7556533.266634099,1376.911865234375,56,57,255,2
654512.6629687143,7556553.055949127,1377.01904296875,56,57,255,2
654507.4313628428,7556572.894234727,1377.259765625,56,57,255,2
654502.0676016676,7556593.127259561,1377.392578125,56,57,255,2
654496.7566416131,7556613.297906504,1377.2899169921875,56,57,255,2
654491.6479828446,7556633.771040954,1377.5013427734375,56,57,255,2
654486.8592416844,7556654.394539072,1377.3837890625,56,57,255,2
654482.2434242265,7556675.168918887,1377.4097900390625,56,57,255,2
654477.5569274796,7556696.013974609,1377.3212890625,56,57,255,2
654472.8357442594,7556716.913124087,1377.2767333984375,56,57,255,2
654467.9378176557,7556737.726733029,1377.1578369140625,56,57,255,2
654462.9734782134,7556758.423977372,1376.9671630859375,56,57,255,2
654457.7336685647,7556779.048457645,1376.3372802734375,56,57,255,2
654452.1565367593,7556799.465365928,1375.8125,56,57,255,2
654446.2634420817,7556819.610427655,1375.0272216796875,56,57,255,2
654439.9842341148,7556839.544963744,1373.81103515625,56,57,255,2
654433.7290284492,7556859.256215562,1372.60546875,56,57,255,2
654427.48187973,7556878.893026675,1371.8106689453125,56,57,255,2
654421.2664657942,7556898.119720486,1370.80859375,56,57,255,2
654414.4716588022,7556917.208555252,1369.68505859375,56,57,255,2
654407.2106998214,7556936.138268145,1369.0546875,56,57,255,2
654399.9850150996,7556954.948368185,1368.3974609375,56,57,255,2
654392.8734972639,7556973.315839229,1368.8260498046875,56,57,255,2
654385.9308452319,7556990.7382633835,1368.5711669921875,56,57,255,2
654378.3094855738,7557005.834887295,1369.2838134765625,56,57,255,2
654369.118167157,7557017.718662812,1369.6177978515625,56,57,255,2
654358.4488811861,7557025.674046189,1371.0992431640625,56,57,255,2
654313.2258488847,7557004.001222781,1376.71923828125,56,57,255,2
