time,Easting,Northing,Altitude,mark,glacier,fuffens
2012-04-16 09:20:39,652336.7864091776,7556986.885085171,1641.9864858767578,,1613.80078125,1602.6671616750816
2012-04-16 09:20:45,652229.1362487674,7557032.226224447,1649.7678876415919,,1621.9483642578125,1619.3723618603926
2012-04-16 09:20:47,652199.0021298426,7557040.717843515,1652.4854972981152,,1624.7967529296875,
2012-04-16 09:20:49,652168.8212664417,7557045.073405149,1654.503310901172,,1626.9908447265625,
2012-04-16 09:20:51,652139.8503144957,7557043.80331603,1656.037968513379,,1628.70361328125,
2012-04-16 09:20:53,652112.6153947733,7557041.407497817,1656.6623325421874,,1629.47705078125,
2012-04-16 09:20:55,652085.8922871748,7557031.78053129,1658.2073393567578,,1630.884765625,
2012-04-16 09:20:57,652061.6881235689,7557014.147540073,1658.1116828711329,,1631.7264404296875,
2012-04-16 09:20:59,652043.753736181,7556991.411851297,1656.7550265414452,,1631.7745361328125,
2012-04-16 09:21:03,652028.1460321052,7556929.377217734,1657.7314716462304,,1630.7750244140625,
2012-04-16 09:21:05,652043.9784737428,7556891.771629049,1655.558602137539,,1627.446533203125,
2012-04-16 09:21:07,652076.0151964854,7556858.92428623,1653.9758613075392,,1624.83642578125,
2012-04-16 09:21:09,652115.4501551322,7556831.542952036,1651.384846055,,1622.0205078125,
2012-04-16 09:21:11,652159.453198248,7556808.789929917,1648.3025390214161,,1619.6156005859375,
2012-04-16 09:21:13,652207.8564991037,7556787.862520964,1643.6213397675194,,1617.000732421875,
2012-04-16 09:21:15,652257.5387402503,7556767.905564029,1637.9866092811915,,1612.082763671875,
2012-04-16 09:21:17,652306.681100054,7556747.917488398,1635.1960819374415,,1609.292236328125,
2012-04-16 09:21:19,652356.5880922494,7556728.422547718,1630.9079834861523,,1604.5443115234375,
2012-04-16 09:21:21,652406.20084515,7556707.570414902,1627.793680993711,,1600.2015380859375,
2012-04-16 09:21:23,652454.1049462783,7556680.361395694,1623.8651807874023,,1595.482177734375,
2012-04-16 09:21:25,652498.6606047965,7556647.703474566,1618.830526425625,,1590.5301513671875,
2012-04-16 09:21:27,652541.0752096396,7556612.461206884,1614.1640467276368,,1585.933837890625,
2012-04-16 09:21:29,652580.6813593049,7556573.924504727,1610.3986136009278,,1581.9117431640625,
2012-04-16 09:21:31,652616.5658505084,7556532.709289623,1606.5293612993262,,1577.65869140625,
2012-04-16 09:21:33,652654.2807096768,7556493.726001592,1603.8357397703517,,1572.74169921875,
2012-04-16 09:21:35,652696.475781329,7556460.148747892,1600.1039879335938,,1566.890869140625,
2012-04-16 09:21:37,652739.8631441515,7556426.196140185,1593.612562923418,,1558.5550537109375,
2012-04-16 09:21:39,652782.2980279131,7556385.8194106165,1585.5533025625684,,1548.8804931640625,1523.6119308588393
2012-04-16 09:21:41,652824.1974229657,7556341.8363430565,1576.3303763229492,,1538.187744140625,1509.315562306528
