time,Easting,Northing,Altitude,mark,glacier,fuffens,Name
2017-04-07 13:13:04,654323.7416312866,7556675.705251855,1444.3945266601563,,1398.1544189453125,1338.8740422552085,erik1
2017-04-07 13:13:05,654302.9986262312,7556671.770996577,1447.5054338964844,,1401.5723876953125,1343.0147140810548,erik1
2017-04-07 13:13:06,654282.3714938962,7556667.712775496,1449.8222024121094,,1404.2830810546875,1346.3990010966797,erik1
2017-04-07 13:13:07,654261.7403796086,7556663.720034212,1452.0977088769532,,1406.9525146484375,1349.7354948017578,erik1
2017-04-07 13:13:08,654241.1622612652,7556659.543348775,1454.0665770019532,,1409.3153076171875,1352.4127871894532,erik1
2017-04-07 13:13:09,654220.547919915,7556655.03689833,1456.3490126757813,,1411.796875,1355.116865546875,erik1
2017-04-07 13:13:10,654199.5972108529,7556650.304385399,1458.8892208007812,,1414.3095703125,1357.980503729492,erik1
2017-04-07 13:13:11,654178.3617381302,7556645.302104135,1461.8168174316406,,1417.209716796875,1361.231889421875,erik1
2017-04-07 13:13:12,654156.9336907002,7556639.951322117,1464.1067634863282,,1419.4630126953125,1363.8413034785158,erik1
2017-04-07 13:13:13,654135.4063250562,7556634.388729988,1466.3958550195312,,1421.7154541015625,1366.4209237747395,erik1
2017-04-07 13:13:14,654113.6899829169,7556628.534049005,1468.5974949414062,,1423.9202880859375,1368.2532903544923,erik1
2017-04-07 13:13:15,654092.0575285406,7556622.562844749,1470.9214699023437,,1426.3812255859375,1370.2195830546875,erik1
2017-04-07 13:13:16,654070.4846908245,7556616.529845611,1472.8791745703124,,1428.4451904296875,1371.8063036445312,erik1
2017-04-07 13:13:17,654048.6519154165,7556610.687472364,1474.4636812597655,,1430.135986328125,1372.9156914912107,erik1
2017-04-07 13:13:18,654026.7226310014,7556605.11108328,1476.4724861132813,,1432.2864990234375,1374.0121115913087,erik1
2017-04-07 13:13:19,654004.6799286589,7556600.024401074,1478.1483787597656,,1434.09619140625,1374.0215243414714,erik1
2017-04-07 13:13:20,653982.404035952,7556595.382806671,1480.482195654297,,1436.128662109375,1374.1553188447267,erik1
2017-04-07 13:13:21,653960.0159552889,7556590.744046474,1482.3306883007813,,1437.5386962890625,1373.920713873047,erik1
2017-04-07 13:13:22,653937.7775349182,7556585.53384666,1484.721353330078,,1439.4908447265625,1374.628009834961,erik1
2017-04-07 13:13:23,653915.8701930804,7556579.81927579,1486.588700673828,,1440.919677734375,1374.996299486328,erik1
2017-04-07 13:13:24,653894.7227755149,7556574.384547764,1488.447328310547,,1442.2923583984375,1375.1716920013673,erik1
2017-04-07 13:13:25,653874.0903532093,7556569.5802052505,1490.7417927832032,,1443.8250732421875,1375.4557890521485,erik1
2017-04-07 13:13:26,653854.099046997,7556565.170287442,1493.1335163671874,,1445.208984375,1375.3204095397134,erik1
